,name_dk_wk5,position_dk_wk5,team_draft_wk5,opponent_fd_wk5,salary_dk_wk5,salary_fd_wk5,salary_draft_wk5,fd_adj_wk5,draft_adj_wk5,adj_fd-dk_wk5,adj_draft-dk_wk5,fd-dk_wk5,draft-dk_wk5,draft-fd_wk5,ppg_draft_wk5,ppg_dk_wk5,ppg_fd_wk5,ppg_diff_wk5
0,Christian McCaffrey,RB,Panthers,JAC,8700.0,9100.0,17000.0,7583.0,8500.0,-1117.0,-200.0,400.0,8300.0,7900.0,29.47,29.48,24.9,4.58
1,Alvin Kamara,RB,Saints,TB,8600.0,8200.0,15900.0,6833.0,7950.0,-1767.0,-650.0,-400.0,7300.0,7700.0,19.97,19.98,17.5,2.48
2,Dalvin Cook,RB,Vikings,NYG,8400.0,8200.0,16000.0,6833.0,8000.0,-1567.0,-400.0,-200.0,7600.0,7800.0,26.6,26.6,22.5,4.1
3,Ezekiel Elliott,RB,Cowboys,GB,8300.0,8800.0,15600.0,7333.0,7800.0,-967.0,-500.0,500.0,7300.0,6800.0,18.17,18.18,15.1,3.08
4,Saquon Barkley,RB,Giants,MIN,8000.0,4500.0,15000.0,3750.0,7500.0,-4250.0,-500.0,-3500.0,7000.0,10500.0,18.03,18.03,14.2,3.83
5,DeAndre Hopkins,WR,Texans,ATL,7800.0,8500.0,14700.0,7083.0,7350.0,-717.0,-450.0,700.0,6900.0,6200.0,15.97,15.98,12.2,3.78
6,Julio Jones,WR,Falcons,HOU,7700.0,8200.0,14600.0,6833.0,7300.0,-867.0,-400.0,500.0,6900.0,6400.0,21.2,21.2,16.8,4.4
7,Davante Adams,WR,Packers,DAL,7600.0,8000.0,14300.0,6667.0,7150.0,-933.0,-450.0,400.0,6700.0,6300.0,17.2,17.2,12.6,4.6
8,David Johnson,RB,Cardinals,CIN,7500.0,6800.0,14100.0,5667.0,7050.0,-1833.0,-450.0,-700.0,6600.0,7300.0,18.62,18.62,16.0,2.62
9,Keenan Allen,WR,Chargers,DEN,7300.0,7500.0,13700.0,6250.0,6850.0,-1050.0,-450.0,200.0,6400.0,6200.0,25.87,25.88,20.1,5.78
10,Mike Evans,WR,Buccaneers,NO,7100.0,7700.0,12800.0,6417.0,6400.0,-683.0,-700.0,600.0,5700.0,5100.0,20.45,20.45,17.5,2.95
